Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Equatorial Guinea,GNQ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917,606.345297609063
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,1487.3165506701,1948.61145907844,2264.21065580365,2930.60183743733,4901.30127408119,8673.9026086535,10184.8841248541,12616.9532942011,18210.5552970599,13232.5019378102,13720.1658723222,17198.2136668275,17308.5723924575,16304.0713196418,15548.6624656619,9068.91003238645,7453.19797948517,7809.10465655488,8102.47084834031,6804.14923073888,5764.05502912947,6945.63069794539,7589.29964909381,6677.793435386,6745.40013244916
Equatorial Guinea,GNQ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..
Eritrea,ERI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,9.625,11.3094520833333,13.9581941666667,13.8778905833333,13.7875,15.3679166666667,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.35,15.075,15.075,15.075,15.075,15.075,15.075,15.075,15.075
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,314.357396753501,325.409161513593,304.775756465092,348.950327077742,426.840947887032,412.753079199423,447.997404727201,480.44762365456,490.066956003333,642.92572288007,539.699512069686,688.68165957684,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,16.9686366666667,17.4780715333333,16.6117916666667,13.8564114045105,12.5955635879843,12.5837865859395,12.4654837577722,11.4338529961624,10.6944430938413,11.2574308850767,11.8068482348947,0.718413898653317,0.778338120416812,0.752945122701996,0.752728196932603,0.901296423367096,0.903421436257263,0.885205508269372,0.846772667108111,0.893276257067409,0.875506396987998,0.84549413889045,0.949623753156941,0.924839558470698,0.923889546117607
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,4070.60902410208,4502.66614992392,5343.18310760735,7205.40703313243,8916.0728274602,10414.6381183565,12641.4800976473,16745.4308011148,18205.9064113446,14712.4494217916,14663.7041018705,17555.5455239426,17568.2137969714,19310.3874900757,20581.7898991695,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27951.1659277744,28340.3826549406,30264.0064885057,31428.3547816104
Estonia,EST,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,3,3,2.9,3.6,1.6,1.1,1.1,0.6,0.6,0.8,1,1.2,1,1.1,1,0.7,0.6,0.5,0.4,0.7,0.4,0.3,0.5,0.3,..
Eswatini,SWZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.93982833333333,8.60918083333333,10.5407466666667,7.56474916666667,6.4596925,6.35932833333333,6.77154916666667,7.045365,8.26122333333333,8.47367415824888,7.32122196115288,7.26113213232735,8.20996862659331,9.65505606913526,10.8526555687831,12.7589308811644,14.7096108855267,13.3238014244992,13.2339264715833,14.4517892288824,16.4702558654325,14.7834351395784,16.3622830559282,18.4535924917449,18.3176868310856
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1629.67038842815,1429.85630359447,1315.73634647994,2015.21743065251,2525.5640452625,2871.06877437449,2964.95865200682,3109.11097608864,2946.8606613746,3189.79679956637,3922.74039390733,4225.06049411911,4224.54789174487,3949.94310039907,3771.07228381938,3419.82276559528,3238.17611961364,3853.09956569679,3972.65450620357,3913.14577547336,3466.56936278145,3984.00229174306,3894.1620089869,3755.52111232464,3909.55892378182
Eswatini,SWZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,65,..,..,..,..,..,..,..,..,58.2,..,..,..,..,..,..,44.5,..,..,..,..,..,..,..,..
Ethiopia,ETH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.21725833333333,8.45749166666666,8.56774999999999,8.59968333333333,8.63558333333333,8.66644166666666,8.69861583333333,8.96595,9.59974166666666,11.7775996725,14.4095898080065,16.8992257595275,17.7047613782674,18.6266289575478,19.5857899076949,20.57684875,21.7315472222222,23.8661044574125,27.4293865941666,29.06975,34.9271654040404,43.73377831884,51.7562150334169,54.6009480676569,82.6013363504764
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,122.269202606069,118.457204255261,109.593813612988,116.800491132777,133.169812538096,158.243458082465,189.345737521418,237.146255996319,316.410475118075,368.574712267445,330.619412798644,343.024942351887,452.101031885754,484.039833104062,549.986577082588,597.912113218663,641.651523286233,696.348429076216,739.702022272086,793.473247210264,829.790982547947,893.00983544905,982.103161506992,1055.81091592527,1133.88279681719
Ethiopia,ETH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,41.3,..,..,..,..,..,37.4,..,..,..,..,33,..,..,..,..,..,38.6,..,..,..
Euro area,EMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.08270508132602,1.11653308564462,1.05755899623964,0.88404792718493,0.803921647747617,0.803800192161442,0.796432730949102,0.729672399984083,0.679922680042728,0.716957702016135,0.754308990105961,0.718413898653317,0.778338120416812,0.752945122701996,0.752728196932602,0.901296423367095,0.903421436257263,0.885205508269372,0.84677266710811,0.893276257067408,0.875506396987998,0.84549413889045,0.94962375315694,0.924839558470697,0.923889546117606
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,20039.4002655128,20289.6505275093,22047.2795660791,27010.5876151819,30803.286099919,31781.6618833533,33646.2303491169,38544.2258256115,42172.9388150163,38464.1586390033,37491.6114073082,40569.5862836129,37481.4502473034,39097.5925470426,39979.3009314013,34471.1747135027,35228.4854539428,37243.5651015997,40107.5362854643,39220.5136743355,38236.5543048506,42984.5697414154,41608.7123275598,45330.1093015768,46945.4188234427
Euro area,EMU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,11652.9290294061,11757.603659314,12849.7232593553,15584.8646461506,18114.0702003259,19227.6221679028,20766.9170925859,24195.9334256766,26524.5115468839,23259.5334613272,23702.4750230082,26239.3600613076,25164.7626116947,26196.108944305,26473.6213384574,22702.8228380066,22519.6408855547,23814.1197034605,25408.6379771601,25020.8648271756,24167.3551199699,27664.8914080918,27913.5882331645,29988.9022903108,31555.5207890657
